original_abundance,expedition,taxon_group,normalized_abundance,definition,notes,type
R,320,nannofossils,R,rare (<1 specimen per 10 fields of view),,taxa
R,323,nannofossils,R,rare (<1 specimen per 10 fields of view),,taxa
R,324,nannofossils,R,rare (<1 specimen per 10 fields of view),,taxa
r,330,nannofossils,R,rare (<1 specimen per 10 fields of view),,taxa
R,330,nannofossils,R,rare (<1 specimen per 10 fields of view),,taxa
R,359,nannofossils,R,rare (<1 specimen per 10 fields of view),,taxa
R,375,nannofossils,R,rare (<1 specimen per 10 fields of view),,taxa
R,342,nannofossils,R,rare (<1 specimen per 10 fields of view),,taxa
R-F,342,nannofossils,R-F,"undefined, ~1 specimen per 10 fields of view",,taxa
R,355,nannofossils,R,rare (<1 specimen per 10 fields of view),,taxa
R,361,nannofossils,R,rare (<1 specimen per 10 fields of view),,taxa
R,362,nannofossils,R,rare (<1 specimen per 10 fields of view),,taxa
R,342,radiolarians,R,rare (<1% of census),,taxa
R,371,dinoflagellates,R,rare (<1% of palynomorphs),,taxa
R,371,palynology,R,rare (<1% of palynomorphs),,taxa
R,374,dinoflagellates,R,rare (<1% of palynomorphs),,taxa
R,374,palynology,R,rare (<1% of palynomorphs),,taxa
R,353,planktic_forams,R,rare (<1% of the planktonic foraminiferal assemblage),,taxa
r,320,radiolarians,R,rare (<10 specimens per slide),,taxa
R,320,radiolarians,R,rare (<10 specimens per slide),,taxa
R,321,radiolarians,R,rare (<10 specimens per slide),,taxa
R,321,silicoflagellates,R,rare (<10 specimens per slide),,taxa
R,339,palynology,R,rare (<100/cm3),,taxa
r,346,diatoms,R,rare (<2 valves in two slide transects),,taxa
R,346,diatoms,R,rare (<2 valves in two slide transects),,taxa
R,362,planktic_forams,R,rare (<5 specimens),,taxa
R,374,diatoms,R,rare (<5 valves per traverse),,taxa
r,354,planktic_forams,R,rare (<5% of the assemblage),,taxa
R,354,planktic_forams,R,rare (<5% of the assemblage),,taxa
r,349,radiolarians,R,rare (<5% of the total sample),,taxa
R,349,radiolarians,R,rare (<5% of the total sample),,taxa
R,320,planktic_forams,R,rare (>1% to <5% of foraminifer assemblage),,taxa
R,321,planktic_forams,R,rare (>1% to <5% of foraminifer assemblage),,taxa
R,323,planktic_forams,R,rare (>1% to <5% of foraminifer assemblage),,taxa
R,374,benthic_forams,R,rare (>1%–5% of species on the tray),,taxa
R,374,planktic_forams,R,rare (>1%–5% of species on the tray),,taxa
R,340,benthic_forams,R,rare (>1–5 specimens),,taxa
R,346,nannofossils,R,rare (≤1 specimen per 10 fields of view),,taxa
R,321,diatoms,R,rare (≤1 valve per counted transect),,taxa
R,368,diatoms,R,rare (≤1 valve per counted transect),,taxa
R,355,radiolarians,R,rare (≤5% of the total sample),,taxa
R,362,diatoms,R,rare (≥2 valves per traverse of coverslip),,taxa
R,318,diatoms,R,rare (≥3 valves per traverse and <1 valve per 10 fields of view),,taxa
R,318,silicoflagellates,R,rare (≥3 valves per traverse and <1 valve per 10 fields of view),,taxa
R,361,diatoms,R,rare (≥3 valves per traverse and <1 valve per 10 fields of view),,taxa
R,361,radiolarians,R,rare (≥3 valves per traverse and <1 valve per 10 fields of view),,taxa
R,341,diatoms,R,rare (≥3 valves per traverse of coverslip and <1 valve per 10 fields of view),,taxa
R,353,diatoms,R,rare (≥3 valves per traverse of coverslip and <1 valve per 10 fields of view),,taxa
R,346,radiolarians,R,rare (0.2%–1% of the radiolarian assemblage),,taxa
R,374,nannofossils,R,rare (1 or more specimens/traverse of a 30 mm cover glass),,taxa
R,350,nannofossils,R,rare (1 specimen per >10 fields of view),,taxa
R (2),350,nannofossils,R,rare (1 specimen per >10 fields of view),,taxa
R,351,nannofossils,R,rare (1 specimen per >10 fields of view),,taxa
R,354,nannofossils,R,rare (1 specimen per >10 fields of view at 1000× magnification),,taxa
R,339,nannofossils,R,rare (1 specimen per ≥11 fields of view),,taxa
R,356,nannofossils,R,rare (1 specimen per 11–100 fields of view at 1000× magnification),,taxa
r,363,nannofossils,R,rare (1 specimen per 11–100 fields of view),,taxa
R,363,nannofossils,R,rare (1 specimen per 11–100 fields of view),,taxa
R,369,nannofossils,R,rare (1 specimen per 11–100 fields of view),,taxa
R,353,nannofossils,R,rare (1 specimen per 11–100 fields of view at 1000× magnification),,taxa
R,340,nannofossils,R,rare (1 specimen per 101–1000 fields of view),,taxa
R,374,radiolarians,R,rare (1 specimen per 5–30 fields of view),,taxa
R,351,radiolarians,R,rare (1% or less of slide),,taxa
R,352,nannofossils,R,rare (1% or less of slide),,taxa
R,346,benthic_forams,R,rare (1% to <5% of foraminiferal assemblage),,taxa
R,346,planktic_forams,R,rare (1% to <5% of foraminiferal assemblage),,taxa
r,346,planktic_forams,R,rare (1% to <5% of foraminiferal assemblage),,taxa
R,359,benthic_forams,R,rare (1%−10% of the assemblage),,taxa
R,359,planktic_forams,R,rare (1%−10% of the assemblage),,taxa
R,356,benthic_forams,R,rare (1%−5% benthic foraminifer specimens in total assemblage),,taxa
R,349,planktic_forams,R,rare (1%–5% of ~400 specimens),,taxa
R,367,planktic_forams,R,rare (1%−5% of the assemblage),,taxa
R,368,planktic_forams,R,rare (1%−5% of the assemblage),,taxa
R,361,benthic_forams,R,rare (1%–5% of the benthic foraminifer assemblage),,taxa
R,361,planktic_forams,R,rare (1%–5% of the planktonic foraminifer assemblage),,taxa
R,363,planktic_forams,R,rare (1%–5% of the planktonic foraminifer assemblage),,taxa
R,369,planktic_forams,R,rare (1%–5% of the planktonic foraminiferal assemblage),,taxa
R,355,planktic_forams,R,rare (1%-5% of the total planktonic foraminifer assemblage),,taxa
R,350,benthic_forams,R,rare (1%-5% of total assemblage),,taxa
R,350,planktic_forams,R,rare (1%-5% of total assemblage),,taxa
R,341,benthic_forams,R,rare (1%–5% of total assemblage),,taxa
R,341,planktic_forams,R,rare (1%–5% of total assemblage),,taxa
R,351,benthic_forams,R,rare (1%-5% of total biogenic assemblage),,taxa
R,351,planktic_forams,R,rare (1%-5% of total biogenic assemblage),,taxa
R,356,planktic_forams,R,rare (1%−5% planktonic foraminifer specimens in total assemblage),,taxa
R,340,planktic_forams,R,rare (1%-5%),,taxa
R,330,planktic_forams,R,rare (1%–5%),,taxa
R,339,benthic_forams,R,rare (1%–5%),,taxa
R,339,planktic_forams,R,rare (1%–5%),,taxa
R,341,radiolarians,R,rare (1–5 specimens per 300 counts),,taxa
R,371,planktic_forams,R,rare (2%–9% species on the tray),,taxa
R,324,benthic_forams,R,rare (2–3 specimens),,taxa
R,324,planktic_forams,R,rare (2–3 specimens),,taxa
R,342,planktic_forams,R,rare (2–9 specimens on the tray),,taxa
(R),375,planktic_forams,R,rare (foraminifers compose <1% of the washed sample),,taxa
R,375,benthic_forams,R,rare (foraminifers compose <1% of the washed sample),,taxa
R,375,planktic_forams,R,rare (foraminifers compose <1% of the washed sample),,taxa
rw,374,ebridians,*,reworked,,taxa
*,374,nannofossils,*,reworked (presence of species interpreted as reworked),,taxa
*,350,nannofossils,*,reworked,,taxa
*,351,nannofossils,*,reworked,,taxa
*,352,nannofossils,*,reworked,,taxa
*,354,nannofossils,*,reworked,,taxa
*,355,nannofossils,*,reworked,,taxa
*,375,nannofossils,*,reworked,,taxa
P*,350,planktic_forams,P*,"reworked, present (<1% of total assemblage)",,taxa
RRW?,371,nannofossils,R*,"reworked, rare (<1 specimen per 10 fields of view)",,taxa
R*,350,nannofossils,R*,"reworked, rare (1 specimen per >10 fields of view)",,taxa
T*,350,planktic_forams,X*,"reworked, trace (<0.1% of total assemblage)",,taxa
T,350,planktic_forams,X,trace (<0.1% of total assemblage),,taxa
X,374,diatoms,X,trace (<1 valve per traverse or fragments noted),,taxa
X,318,chrysophyte_cysts,X,"trace (<3 valves per traverse, including fragments)",,taxa
(X),318,diatoms,X,"trace (<3 valves per traverse, including fragments)",,taxa
T,318,diatoms,X,"trace (<3 valves per traverse, including fragments)",,taxa
X,318,diatoms,X,"trace (<3 valves per traverse, including fragments)",,taxa
X-R,318,diatoms,X,"trace (<3 valves per traverse, including fragments)",,taxa
T,318,dinoflagellates,X,"trace (<3 valves per traverse, including fragments)",,taxa
X,318,ebridians,X,"trace (<3 valves per traverse, including fragments)",,taxa
X,318,silicoflagellates,X,"trace (<3 valves per traverse, including fragments)",,taxa
X,355,diatoms,X,"trace (<3 valves per traverse, including fragments)",,taxa
X,361,diatoms,X,"trace (<3 valves per traverse, including fragments)",,taxa
X,361,radiolarians,X,"trace (<3 valves per traverse, including fragments)",,taxa
T,324,benthic_forams,X,trace (≤1 specimens),,taxa
T,324,planktic_forams,X,trace (≤1 specimens),,taxa
T,318,palynology,X,trace (qualitative),,taxa
!,342,nannofossils,!,"undefined, suggest 1 individual",,taxa
F/C,371,nannofossils,F-C,"undefined, suggest ~1 specimen per 1 fields of view",,taxa
2RW,371,nannofossils,2*,"undefined, suggest reworked, 2 individuals",,taxa
1RW,371,nannofossils,1*,"undefined, suggest reworked individual",,taxa
P,359,nannofossils,P,"undefined, suggest ~1 specimen per 1-10 fields of view",,taxa
P,361,nannofossils,P,"undefined, suggest ~1 specimen per 1-10 fields of view",,taxa
P,362,nannofossils,P,"undefined, suggest ~1 specimen per 1-10 fields of view",,taxa
F-R,355,diatoms,F-R,"undefined, suggest ~1 valves per 10 fields of view",,taxa
C,361,planktic_forams,C,"undefined, suggest 10%-20% of planktonic foraminifer assemblage",,taxa
F/R,371,nannofossils,F-R,"undefined, suggest ~1 specimen per 10 fields of view",,taxa
R/F,371,nannofossils,F-R,"undefined, suggest ~1 specimen per 10 fields of view",,taxa
F-R,371,palynology,F-R,"undefined, suggest ~1% of palynomorphs",,taxa
F-C,371,dinoflagellates,F-C,"undefined, suggest ~10% of palynomorphs",,taxa
F-C,371,palynology,F-C,"undefined, suggest ~10% of palynomorphs",,taxa
A-D,371,palynology,A-D,"undefined, suggest ~90% of palynomorphs",,taxa
P,320,radiolarians,P,"undefined, suggest <1 specimen per slide",,taxa
P,346,planktic_forams,P,"undefined, suggest <1% of foraminiferal assemblage",,taxa
P,371,palynology,P,"undefined, suggest <1% of palynomorphs",,taxa
T,371,palynology,X,"undefined, suggest <1% of palynomorphs",,taxa
fr,374,nannofossils,F,"undefined, suggest >1 specimen/traverse of a 30 mm coverglass",,taxa
D,371,benthic_forams,D,"undefined, suggest >50% of species on the tray",,taxa
S,342,nannofossils,S,"undefined, suggest abundant (>10 specimens per field of view)",,taxa
A,343,radiolarians,A,"undefined, suggest abundant (>20 specimens per 300 counts)",,taxa
S,342,planktic_forams,S,"undefined, suggest abundant (>50 specimens on the tray)",,taxa
B,355,planktic_forams,B,barren,,taxa
C,368,planktic_forams,C,"undefined, suggest common (~10% of the assemblage)",,taxa
C,355,planktic_forams,C,"undefined, suggest common (~10% of the total planktonic foraminifer assemblage)",,taxa
C,343,radiolarians,C,"undefined, suggest common (10–20 specimens per 300 counts)",,taxa
D,342,planktic_forams,D,"undefined, suggest dominant (>30% of sediment particles)",,taxa
D,356,planktic_forams,D,"undefined, suggest dominant (>50% planktonic foraminifer specimens in total assemblage)",,taxa
D,346,diatoms,D,"undefined, suggest dominant (>60% diatoms)",,taxa
E,321,radiolarians,E,"undefined, suggest few (>10–100 specimens per slide)",,taxa
E,320,radiolarians,E,"undefined, suggest few (>10–100 specimens per slide)",,taxa
V,352,nannofossils,V,"undefined, suggest few (1%-5% of foraminiferal assemblage)",,taxa
VF,352,nannofossils,VF,"undefined, suggest few (1%-5% of foraminiferal assemblage)",,taxa
E,342,planktic_forams,E,"undefined, suggest few (10–19 specimens on the tray)",,taxa
F,343,radiolarians,F,"undefined, suggest few (5–10 specimens per 300 counts)",,taxa
FO,361,benthic_forams,FO,"undefined, suggest first occurrence. No quantitative abundance info",,taxa
Freq,346,nannofossils,Freq,"undefined, suggest frequent (1 specimen per 1–10 fields of view at 1000× magnification)",,taxa
R,342,benthic_forams,R,"undefined, suggest from group abundance rare (>1% to <5% of total sediment particles)",,taxa
atlantic,363,nannofossils,atlantic,"undefined, suggest occurrence of specific geographic type",,taxa
P,356,radiolarians,P,"undefined, suggest present (<1% of radiolarian specimens in total assemblage)",,taxa
L,359,planktic_forams,L,"undefined, suggest present (<1% of the assemblage)",,taxa
X,361,planktic_forams,X,"undefined, suggest present (<1% of the planktonic foraminifer assemblage)",,taxa
x,363,planktic_forams,X,"undefined, suggest present (<1% of the planktonic foraminifer assemblage)",,taxa
**,363,nannofossils,**,"undefined, suggest present (1 specimen per >100 fields of view)",,taxa
X,363,nannofossils,X,"undefined, suggest present (1 specimen per >100 fields of view)",,taxa
x,363,nannofossils,X,"undefined, suggest present (1 specimen per >100 fields of view)",,taxa
y,363,nannofossils,Y,"undefined, suggest present (1 specimen per >100 fields of view)",,taxa
X lcYES,363,nannofossils,X,"undefined, suggest present (1 specimen per >100 fields of view) and last common",,taxa
?,363,nannofossils,?,"undefined, suggest questionable",,taxa
S,321,radiolarians,S,"undefined, suggest rare (<10 specimens per slide)",,taxa
T,321,diatoms,T,"undefined, suggest rare (≤1 valve per counted transect)",,taxa
P,346,benthic_forams,P,"undefined, suggest rare (1% to <5% of foraminiferal assemblage)",,taxa
R,343,radiolarians,R,"undefined, suggest rare (1–5 specimens per 300 counts)",,taxa
F,356,radiolarians,F,"undefined, suggest rare (5%–10% radiolarian specimens in total assemblage)",,taxa
*,339,nannofossils,*,"undefined, suggest reworked",,taxa
*,344,nannofossils,*,"undefined, suggest reworked",,taxa
*,346,nannofossils,*,"undefined, suggest reworked",,taxa
*,354,planktic_forams,*,"undefined, suggest reworked",,taxa
re,371,nannofossils,re,"undefined, suggest reworked",,taxa
rw,369,planktic_forams,rw,"undefined, suggest reworked",,taxa
rw,374,diatoms,rw,"undefined, suggest reworked",,taxa
Rrw,369,planktic_forams,Rrw,"undefined, suggest reworked rare (1%-5% of planktonic foraminiferal assembalge)",,taxa
P,371,radiolarians,P,"undefined, suggest trace (1–10 specimens per slide)",,taxa
p,371,radiolarians,P,"undefined, suggest trace (1–10 specimens per slide)",,taxa
.,374,diatoms,.,"undefined, suggest typo, barren",,taxa
`,342,nannofossils,`,"undefined, suggest typo, barren",,taxa
V,355,nannofossils,V,"undefined, suggest very abundant (>100 specimens per fields of view)",,taxa
P,356,planktic_forams,P,"undefined, suggest very rare (<1% planktonic foraminifer specimens in total assemblage)",,taxa
P,342,nannofossils,P,"undefined, suggest very rare (<5 specimens seen while logging slide)",,taxa
VA,339,nannofossils,VA,"undefined, suggest dominant (>20 specimens per field of view)",,taxa
V,356,nannofossils,VA,very abundant (>100 specimens per field of view at 1000× magnification),,taxa
V,353,nannofossils,VA,very abundant (>100 specimens per field of view at 1000× magnification),,taxa
V,350,nannofossils,VA,very abundant (>100 specimens per field of view),,taxa
V,354,nannofossils,VA,very abundant (>100 specimens per field of view at 1000× magnification),,taxa
v,363,nannofossils,VA,very abundant (>100 specimens per field of view),,taxa
V,363,nannofossils,VA,very abundant (>100 specimens per field of view),,taxa
V,369,nannofossils,VA,very abundant (>100 specimens per field of view),,taxa
VF,350,nannofossils,VF,very few (1 specimen per 2–10 fields of view),,taxa
VF,354,nannofossils,VF,very few (1 specimen per 2–10 fields of view at 1000× magnification),,taxa
VR,374,nannofossils,VR,very rare (<1 specimen per traverse),,taxa
VR,371,nannofossils,VR,very rare (<5 specimens seen while logging slide),,taxa
R,371,nannofossils,R,rare (<1 specimen per 10 fields of view),,taxa
