Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,Lithology Prefix,Lithology Principal Name,Texture Rank,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
356-U1463D-19H-2-A,11,150,162.51,163.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,moderate [B06],3,,,Unlithified olive gray homogeneous mudtone. benthic forams occur in a possible bioturbation trace at 119 cm.,,,,356,U1463,D,19,H,2,A,,,
356-U1463D-19H-3-A,0,80,163.9,164.7,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,moderate [B06],3,bioturbated,sub-horizontal,Unlithified olive gray homogeneous mudtone.Very few benthic forams.,,,,356,U1463,D,19,H,3,A,,,
356-U1463D-19H-3-A,80,122,164.7,165.12,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light olive gray,foraminifera (small benthic),,,,moderate [B06],3,bioturbated,inclined,Unlithified light olive gray mudstone with shows color mottling due to bioturbation. The content in benthic foraminifera is higher than in the interval above and below.,,,,356,U1463,D,19,H,3,A,,,
356-U1463D-19H-3-A,122,150,165.12,165.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,common [B06],4,,,Unlithified olive gray mudtone. Common bioturbation leads to color mottling.,,,,356,U1463,D,19,H,3,A,,,
356-U1463D-19H-4-A,0,14,165.4,165.54,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,common [B06],4,,,Unlithified olive gray mudtone. Common bioturbation leads to color mottling.,,,,356,U1463,D,19,H,4,A,,,
356-U1463D-19H-4-A,14,128,165.54,166.68,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,slight [B06],2,,,Unlithified olive gray mudstone. Main difference to interval above and below is the degree of bioturbation.,,,,356,U1463,D,19,H,4,A,,,
356-U1463D-19H-4-A,128,150,166.68,166.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,moderate [B06],3,,,Unlithified olive grey mudstone with biioturbation,,,,356,U1463,D,19,H,4,A,,,
356-U1463D-19H-5-A,0,150,166.9,168.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,concretion [BJ80],,slight [B06],2,,,Unlithified olive grey mudstone. Small concretion (likely celestine ) and crustacean fragment.,,,,356,U1463,D,19,H,5,A,,,
356-U1463D-19H-6-A,0,150,168.4,169.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,concretion [BJ80],,moderate [B06],3,,,Unlithified olive grey mudstone. Concretion (likely celestine ) at 54 cm. More intense bioturbation in the lower 20 cm of the core.,,,,356,U1463,D,19,H,6,A,,,
356-U1463D-19H-7-A,0,69,169.9,170.59,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,slight [B06],2,,,Unlithified olive grey mudstone.,,,,356,U1463,D,19,H,7,A,,,
356-U1463D-19H-CC-A,0,23,170.59,170.82,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,slight [B06],2,,,Unlithified olive grey mudstone.,,,,356,U1463,D,19,H,CC,A,,,
356-U1463D-20H-1-A,0,150,170.4,171.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,foraminifera (small benthic),,,,slight [B06],2,,,"Unlithified, olive grey mudstone with lenses of small benthic foraminifers at 88 and 146 cm.",,,,356,U1463,D,20,H,1,A,,,
356-U1463D-20H-2-A,0,150,171.9,173.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,slight [B06],2,,,"Unlithified, olive grey mudstone. Very few small benthic foraminifera concentrated in likely bioturbation traces.",,,,356,U1463,D,20,H,2,A,,,
356-U1463D-20H-3-A,0,150,173.4,174.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,moderate [B06],3,,,"Unlithified, olive grey mudstone. Degree of bioturbation increases below 80 cm. Around 45 cm there are several fragments of tube like fossils with double walled shell structure that have been commonly observed at other parts of the Hole.",,,,356,U1463,D,20,H,3,A,,,
356-U1463D-20H-4-A,0,135,174.9,176.25,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,slight [B06],2,,,"Unlithified, homogenous olive green mudstone.",,,,356,U1463,D,20,H,4,A,,,
356-U1463D-20H-4-A,135,150,176.25,176.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,foraminifera (small benthic),,,,moderate [B06],3,,,"Unlithified, homogenous, olive green mudstone. Some bioturbation traces contain abundant small benthic foraminifers.",,,,356,U1463,D,20,H,4,A,,,
356-U1463D-20H-5-A,0,101,176.4,177.41,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,moderate [B06],3,,,"Unlithified, homogenous, olive green mudstone. Color mottling due to bioturbation.",,,,356,U1463,D,20,H,5,A,,,
356-U1463D-20H-6-A,0,46,177.41,177.87,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,moderate [B06],3,sharp,horizontal,"Unlithified, homogenous olive gray mudstone. Color mottling due to bioturbation.",,,,356,U1463,D,20,H,6,A,,,
356-U1463D-20H-6-A,46,56,177.87,177.97,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light grayish green,,,,,absent [B06],0,,,"Unlithified, homogenous light grayish green mudstone. No visible bioturbation.",,,,356,U1463,D,20,H,6,A,,,
356-U1463D-20H-6-A,56,56,177.97,177.97,,,,,,,,,,,,,,,,,"unlithified, homogenous light grayish green mudstone. No visible bioturbation.",,,,356,U1463,D,20,H,6,A,,,
356-U1463D-21H-1-A,0,150,179.9,181.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,foraminifera (small benthic),,,,slight [B06],2,,,"Unlithified, homogenous olive gray mudstone. Layers with concentrations of small benthic forams at 57 and 81 cm.",,,,356,U1463,D,21,H,1,A,,,
356-U1463D-21H-2-A,0,150,181.4,182.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light grayish green,,,,,moderate [B06],3,,,"Unlithified, homogenous light grayish green mudstone.",,,,356,U1463,D,21,H,2,A,,,
356-U1463D-21H-3-A,0,150,182.9,184.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light grayish green,bivalve,,,,slight [B06],2,,,"Unlithified, homogenous light grayish green mudstone. Concentration of bivalve shell fragments between 128 -133.",,,,356,U1463,D,21,H,3,A,,,
356-U1463D-21H-4-A,0,150,184.4,185.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light grayish green,,,,,slight [B06],2,,,"Unlithified, homogenous light grayish green mudstone.",,,,356,U1463,D,21,H,4,A,,,
356-U1463D-21H-5-A,0,150,185.9,187.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light grayish green,,,,,slight [B06],2,,,"Unlithified, homogenous light grayish green mudstone.",,,,356,U1463,D,21,H,5,A,,,
356-U1463D-21H-6-A,0,150,187.4,188.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light grayish green,bivalve,,,,slight [B06],2,,,"Unlithified, homogenous light grayish green mudstone with large ( > 4 cm fragment) bivalve with spines at 118 to 123 cm.",,,,356,U1463,D,21,H,6,A,,,
356-U1463D-21H-7-A,0,69,188.9,189.59,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light grayish green,,,,,slight [B06],2,,,"Unlithified, homogenous light grayish green mudstone.",,,,356,U1463,D,21,H,7,A,,,
356-U1463D-21H-CC-A,0,13,189.59,189.72,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light grayish green,,,,,slight [B06],2,,,"Unlithified, homogenous light grayish green mudstone.",,,,356,U1463,D,21,H,CC,A,,,
356-U1463D-22H-1-A,0,150,189.4,190.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light grayish green,bivalve,,,,moderate [B06],3,,,"Unlithified, homogenous light grayish green mudstone. Several bivalve fragments occur between 35 and 70 cm. Color mottling due to bioturbation",,,,356,U1463,D,22,H,1,A,,,
356-U1463D-22H-2-A,0,150,190.9,192.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light grayish green,,,,,slight [B06],2,,,"Unlithified, homogenous light grayish green mudstone. Color mottling due to bioturbation",,,,356,U1463,D,22,H,2,A,,,
356-U1463D-22H-3-A,0,150,192.4,193.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light grayish green,,,,,slight [B06],2,,,"Unlithified, homogenous light grayish green mudstone.",,,,356,U1463,D,22,H,3,A,,,
356-U1463D-22H-4-A,0,150,193.9,195.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light grayish green,,,,,slight [B06],2,,,"Unlithified, homogenous light grayish green mudstone. Color mottling due to bioturbation",,,,356,U1463,D,22,H,4,A,,,
356-U1463D-22H-5-A,0,150,195.4,196.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light grayish green,,,,,slight [B06],2,,,"Unlithified, homogenous light grayish green mudstone.",,,,356,U1463,D,22,H,5,A,,,
356-U1463D-22H-6-A,0,150,196.9,198.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light grayish green,,,,,slight [B06],2,,,"Unlithified, homogenous light grayish green wackestone with fine to medium sand sized grains.",,,,356,U1463,D,22,H,6,A,,,
356-U1463D-22H-7-A,0,66,198.4,199.06,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light grayish green,,,,,absent [B06],0,,,"Unlithified, homogenous light grayish green wackestone with alternating degrees of lithification.",,,,356,U1463,D,22,H,7,A,,,
356-U1463D-22H-CC-A,0,21,199.06,199.27,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light grayish green,,,,,absent [B06],0,,,"Unlithified, homogenous light grayish green wackestone with alternating degrees of lithification.",,,,356,U1463,D,22,H,CC,A,,,
356-U1463D-23H-1-A,0,91,198.9,199.81,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light grayish green,foraminifera (small benthic),,,,slight [B06],2,,,"Unlithified, homogeneous light grayish green wackestone with very fine sand size grains. Slight bioturbation.",,,,356,U1463,D,23,H,1,A,,,
356-U1463D-23H-1-A,91,150,199.81,200.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, homogeneous mudstone.",,,,356,U1463,D,23,H,1,A,,,
356-U1463D-23H-2-A,0,15,200.4,200.55,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, homogeneous mudstone.",,,,356,U1463,D,23,H,2,A,,,
356-U1463D-23H-2-A,15,150,200.55,201.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,foraminifera (small benthic),,,,moderate [B06],3,,,"Unlithified, greenish gray wackestone with silt to very fine sand size grainz. Partially lithified parts are frequently intercalated with wackestone. Moderate bioturbation.",,,,356,U1463,D,23,H,2,A,,,
356-U1463D-23H-3-A,0,150,201.9,203.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,foraminifera (small benthic),,pyrite (disseminated),,slight [B06],2,,,"Unlithified, homogeneous greenish gray wackestone with vfs to fs size grains. It contains decapod's carapace, unidentified bioclasts, and small benthic foraminifers. Slight bioturbation.",,,,356,U1463,D,23,H,3,A,,,
356-U1463D-23H-4-A,0,150,203.4,204.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,foraminifera (small benthic),,,,moderate [B06],3,,,"Unlithified, greenish gray wackestone with silt to very fine sand size grainz. Partially lithified parts are frequently intercalated with wackestone. Moderate bioturbation.",,,,356,U1463,D,23,H,4,A,,,
356-U1463D-23H-5-A,0,150,204.9,206.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,foraminifera (small benthic),,,,moderate [B06],3,,,"Unlithified, greenish gray wackestone with silt to very fine sand size grainz. At the lower part of teh section, partially lithified parts are frequently intercalated with wackestone. Moderate bioturbation.",,,,356,U1463,D,23,H,5,A,,,
356-U1463D-23H-6-A,0,101,206.4,207.41,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,foraminifera (small benthic),,,,moderate [B06],3,,,"Unlithified, greenish gray wackestone with silt to very fine sand size grainz. Partially lithified parts are frequently intercalated with wackestone. Moderate bioturbation.",,,,356,U1463,D,23,H,6,A,,,
356-U1463D-23H-7-A,0,77,207.41,208.18,partially lithified,,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,foraminifera (small benthic),,pyrite (disseminated),,moderate [B06],3,,,"Partially, lithified greenish gray wackestone with very fine sand size grains.",,,,356,U1463,D,23,H,7,A,,,
356-U1463D-24H-1-A,0,146,208.4,209.86,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light grayish green,,,,,moderate [B06],3,,,"Unlithified, light greenish gray wackestone with some tubes and some pyrite in a bioturbation tube.",,,,356,U1463,D,24,H,1,A,,,
356-U1463D-24H-2-A,0,150,209.86,211.36,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light grayish green,foraminifera (small benthic),,,,slight [B06],2,,,"Unlithified, light greenish gray wackestone.",,,,356,U1463,D,24,H,2,A,,,
356-U1463D-24H-3-A,0,66,211.36,212.02,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light grayish green,foraminifera (small benthic),,,,slight [B06],2,,,"Unlithified, light greenish gray wackestone.",,,,356,U1463,D,24,H,3,A,,,
356-U1463D-24H-3-A,66,123,212.02,212.59,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,olive gray,foraminifera (small benthic),,,,common [B06],4,,,Unlithified olive gray to light grayish green wackestone. Light grayish green wackestone contains more abundant small benthic foraminifera and fills the bioturbation.,,,,356,U1463,D,24,H,3,A,,,
356-U1463D-24H-3-A,123,150,212.59,212.86,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,olive gray,,,pyrite nodule,,slight [B06],2,,,"Unlithified, homogeneous olive gray wackestone with a pyrite nodule at 124 cm.",,,,356,U1463,D,24,H,3,A,,,
356-U1463D-24H-4-A,0,150,212.86,214.36,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,olive gray,,,pyrite nodule,,slight [B06],2,,,"Unlithified, homogeneous olive gray wackestone with a pyrite nodule at 126 cm. Bioclasts are scarce but incluge crustacean fragments and tube like skeletal grains.",,,,356,U1463,D,24,H,4,A,,,
356-U1463D-24H-5-A,0,150,214.36,215.86,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,olive gray,,,,,common [B06],4,,,"Unlithified, homogeneous olive gray to light olive gray wackestone with scarce bioclasts but a several tube like skeletal grains in the upper 10 cm of the core.",,,,356,U1463,D,24,H,5,A,,,
356-U1463D-24H-6-A,0,150,215.86,217.36,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,bivalve,,,,common [B06],4,,,"Unlithified, homogeneous greenish gray wackestone with scarce bioclasts. One large bioclast is a bivalve shell at 143 cm. Small grained pyrite occurs in bioturbation trace.",,,,356,U1463,D,24,H,6,A,,,
356-U1463D-24H-7-A,0,69,217.36,218.05,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, homogeneous greenish gray wackestone with scarce benthic foraminifers and tube like skeletal grains as bioclasts.",,,,356,U1463,D,24,H,7,A,,,
356-U1463D-24H-CC-A,0,22,218.05,218.27,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, homogeneous greenish gray wackestone.",,,,356,U1463,D,24,H,CC,A,,,
356-U1463D-25H-1-A,0,100,217.9,218.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,common [B06],4,bioturbated,,"Unlithified, homogeneous greenish gray wackestone, strongly bioturbated.",,,,356,U1463,D,25,H,1,A,,,
356-U1463D-25H-1-A,100,150,218.9,219.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,common [B06],4,,,"Unlithified, homogeneous olive grey mudstone",,,,356,U1463,D,25,H,1,A,,,
356-U1463D-25H-2-A,0,50,219.4,219.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,common [B06],4,bioturbated,,"Unlithified, homogeneous olive grey mudstone",,,,356,U1463,D,25,H,2,A,,,
356-U1463D-25H-2-A,50,150,219.9,220.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,common [B06],4,,,"Unlithified, homogeneous greenish gray wackestone.",,,,356,U1463,D,25,H,2,A,,,
356-U1463D-25H-3-A,0,85,220.9,221.75,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,moderate [B06],3,bioturbated,,"Unlithified, homogeneous greenish gray wackestone.",,,,356,U1463,D,25,H,3,A,,,
356-U1463D-25H-3-A,85,150,221.75,222.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,common [B06],4,,,"Unlithified, homogeneous greenish gray mudstone.",,,,356,U1463,D,25,H,3,A,,,
356-U1463D-25H-4-A,0,18,222.4,222.58,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,common [B06],4,bioturbated,,"Unlithified, homogeneous greenish gray mudstone.",,,,356,U1463,D,25,H,4,A,,,
356-U1463D-25H-4-A,18,75,222.58,223.15,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,moderate [B06],3,bioturbated,,"Unlithified, homogeneous greenish gray wackestone.",,,,356,U1463,D,25,H,4,A,,,
356-U1463D-25H-4-A,75,150,223.15,223.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,moderate [B06],3,,,"Unlithified, homogeneous greenish gray mudstone.",,,,356,U1463,D,25,H,4,A,,,
356-U1463D-25H-5-A,0,150,223.9,225.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,moderate [B06],3,bioturbated,,"Unlithified, homogeneous greenish gray wackestone.",,,,356,U1463,D,25,H,5,A,,,
356-U1463D-25H-6-A,0,150,225.4,226.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,bivalve,,,,slight [B06],2,,,"Unlithified, homogeneous greenish gray wackestone with bivalve fragments between 109-118 cm.",,,,356,U1463,D,25,H,6,A,,,
356-U1463D-25H-7-A,0,71,226.9,227.61,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, homogeneous greenish gray wackestone with small benthic foraminifera as bioclasts.",,,,356,U1463,D,25,H,7,A,,,
356-U1463D-25H-CC-A,0,18,227.61,227.79,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, homogeneous greenish gray wackestone with small benthic foraminifera as bioclasts.",,,,356,U1463,D,25,H,CC,A,,,
356-U1463D-26H-1-A,0,150,227.4,228.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,bivalve,,,,slight [B06],2,,,"Unlithified, homogeneous greenish gray wackestone with small benthic foraminifera as bioclasts. Small grained pyrite occurs as patches often associated with bioturbation.",,,,356,U1463,D,26,H,1,A,,,
356-U1463D-26H-2-A,0,150,228.9,230.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, homogeneous greenish gray wackestone with small benthic foraminifera as bioclasts. Small grained pyrite occurs as patches often associated with bioturbation.",,,,356,U1463,D,26,H,2,A,,,
356-U1463D-26H-3-A,0,150,230.4,231.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, homogeneous greenish gray wackestone with small benthic foraminifera as bioclasts. Small grained pyrite occurs as patches often associated with bioturbation.",,,,356,U1463,D,26,H,3,A,,,
356-U1463D-26H-4-A,0,150,231.9,233.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, homogeneous greenish gray wackestone with small benthic foraminifera as bioclasts. Small grained pyrite occurs as patches often associated with bioturbation.",,,,356,U1463,D,26,H,4,A,,,
356-U1463D-26H-5-A,0,150,233.4,234.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, homogeneous greenish gray wackestone with small benthic foraminifera as bioclasts. Small grained pyrite occurs as patches often associated with bioturbation.",,,,356,U1463,D,26,H,5,A,,,
356-U1463D-26H-6-A,0,150,234.9,236.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, homogeneous greenish gray wackestone with small benthic foraminifera as bioclasts. Small grained pyrite occurs as patches often associated with bioturbation.",,,,356,U1463,D,26,H,6,A,,,
356-U1463D-26H-7-A,0,70,236.4,237.1,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, homogeneous greenish gray wackestone with small benthic foraminifera as bioclasts. Small grained pyrite occurs as patches often associated with bioturbation.",,,,356,U1463,D,26,H,7,A,,,
356-U1463D-26H-CC-A,0,21,237.1,237.31,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, homogeneous greenish gray wackestone with small benthic foraminifera as bioclasts. Small grained pyrite occurs as patches often associated with bioturbation.",,,,356,U1463,D,26,H,CC,A,,,
356-U1463D-27H-1-A,0,150,236.9,238.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, homogeneous greenish gray wackestone with small benthic foraminifera as bioclasts. Small grained pyrite occurs as patches often associated with bioturbation.",,,,356,U1463,D,27,H,1,A,,,
356-U1463D-27H-2-A,0,150,238.4,239.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, homogeneous greenish gray wackestone with small benthic foraminifera as bioclasts. Small grained pyrite occurs as patches often associated with bioturbation.",,,,356,U1463,D,27,H,2,A,,,
356-U1463D-27H-3-A,0,150,239.9,241.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,Homogeneous greenish gray wackestone with small benthic foraminifera as bioclasts. Small grained pyrite occurs as patches often associated with bioturbation. A partially lithified interval occurs around 40 cm.,,,,356,U1463,D,27,H,3,A,,,
356-U1463D-27H-4-A,0,150,241.4,242.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"unlithified, greenish grey wackestone with very fine sand to silt sized grains. These grains are smaller compared to the section above.",,,,356,U1463,D,27,H,4,A,,,
356-U1463D-27H-5-A,0,150,242.9,244.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,concretion [BJ80],,slight [B06],2,,,"unlithified, greenish grey wackestone with very fine sand to silt sized grains. A pyrite nodule occurs within a bioturbation trace at 55 cm. Around the same depth a celestite concretion occurs.",,,,356,U1463,D,27,H,5,A,,,
356-U1463D-27H-5-A,0,150,242.9,244.4,,,,,,,,,,,pyrite nodule,,,,,,,,,,356,U1463,D,27,H,5,A,,,
356-U1463D-27H-6-A,0,112,244.4,245.52,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, greenish grey wackestone with fine sandsized grains.",,,,356,U1463,D,27,H,6,A,,,
356-U1463D-28H-1-A,0,149,246.4,247.89,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, greenish grey wackestone with fine sandsized grains and patches of dissiminated pyrite.",,,,356,U1463,D,28,H,1,A,,,
356-U1463D-28H-2-A,0,150,247.89,249.39,partially lithified,,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, greenish grey wackestone with fine sand sized grains and occasionally patches of disseminated pyrite. Degree of lithification varies on a cm scale between more and less cemented layers.",,,,356,U1463,D,28,H,2,A,,,
356-U1463D-28H-3-A,0,150,249.39,250.89,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,concretion [BJ80],,slight [B06],2,,,"Unlithified, greenish grey wackestone with fine sandsized grains and patches of dissiminated pyrite. Celestite nodules occur between 92 and 98 cm.",,,,356,U1463,D,28,H,3,A,,,
356-U1463D-28H-4-A,0,150,250.89,252.39,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Unlithified, homogeneous greenish gray mudstone. Isolate patches of fine grained pyrite.",,,,356,U1463,D,28,H,4,A,,,
356-U1463D-28H-5-A,0,150,252.39,253.89,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,beige,,,pyrite nodule,,moderate [B06],3,,,Unlithified beige wackestone with fine sand sized grains. Pyrite nodule occurs at 26 cm. Dissiminated pyrite occurs in patches throughout the core section. Below 100 cm the core shows color mottling with different shades of beige.,,,,356,U1463,D,28,H,5,A,,,
356-U1463D-28H-6-A,0,150,253.89,255.39,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,beige,echinoderm,,pyrite (disseminated),,slight [B06],2,,,Unlithified beige wackestone with fine sand sized grains. Dissiminated pyrite occurs in patches throughout the core section.,,,,356,U1463,D,28,H,6,A,,,
356-U1463D-28H-7-A,0,71,255.39,256.1,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light greenish gray,,,,,slight [B06],2,,,Unlithified beige wackestone with fine sand sized grains. Dissiminated pyrite occurs in patches throughout the core section. Macrofossil bioclasts become more important than in the overlying core sections.,,,,356,U1463,D,28,H,7,A,,,
