Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Amphistegina spp	Oridorsalis umbonatus	Melonis barleeanus	Hoeglundina elegans	Amphistegina madagascariensis	Trochammina globigeriniformis	Rhabdammina abyssorum	Marsipella cylindrica	Tosaia hanzawai	Stilostomella lepidula	Quinqueloculina seminulum	Quinqueloculina akneriana	Pyrgo murrhina	Pullenia salisburyi	Pullenia quinqueloba	Pullenia bulloides	Pseudoparrella  exigua	Pleurostomella brevis	Pleurostomella alternans	Parrelloides bradyi	Parafissurina lateralis	Orthomorphina sp.	Oridorsalis tener	Nuttallides umbonifera	Nodosaria longiscata	Laticarinina pauperata	Lagena sp.	Gyroidina altiformis	Globocassidulina subglobosa	Fissurina sp.	Fissurina orbignyana seguenza	Favocassidulina favus	Evolvocassidulina brevis	Cibicidoides sp.	Cibicidoides mundulus	Cibicides wuellerstorfi	Cibicides aknerianus	Bulimina fijiensis	Brizalina seminuda	Astrononion stelligerum	Anomalinoides globulosus	Anomalinoides glabrata	Sphaeroidina bulloides	Quinqueloculina lamarckiana	Gyroidinoides lamarckianus	Gyroidina orbicularis	Fissurina crebra	Ehrenbergina hystrix	Dentalina spp.	Cibicides robertsonianus	Ammobaculites sp.	Uvigerina proboscidea	Sigmavirgulina tortuosa	Melonis sphaeroides	Melonis parkerae	Gavelinopsis praegeri	Fissurina marginata	Cibicidoides mediocris	Bulimina rostrata	Stilostomella sp.	Stilostomella abyssorum	Osangularia culter	Heterolepa haidingerii	Globocassidulina subtumida	Globocassidulina moluccensis	Eponides tumidulus	Cibicides sp.	Rosalina sp.	Pseudononion sp.	Oridorsalis sp.	Melonis pacificus	Gyroidinoides nipponicus	Gyroidina soldanii	Globocassidulina paratortuosa	Globocassidulina oriangulata	Globocassidulina elegans	Glandulina laevigata	Cymbaloporetta bradyi	Cassidulina sp.	Abditodentrix asketocomptella	Uvigerina ampullacea	Trochammina conglobata	Quinqueloculina sp.	Oolina melo	Marginulinopsis bradyi	Lagena gracillima	Globocassidulina parviapertura	Globocassidulina crassa	Fissurina clathrata	Elphidium crispum	Brizalina plicatella	Triloculina tricarinata	Parafissurina pseudomarginata	Nodosaria flintii	Globocassidulina ornata	Globocassidulina oribunda	Globocassidulina brocha	Bolivina subspinescens	Uvigerina peregrina	Uvigerina hispidocostata	Sigmoilopsis schlumbergeri	Robulus gibbus	Planulina ariminensis	Oridorsalis sp. cf. O. umbonatus	Lagena sulcata laevicostata	Lagena laevis	Lagena gracilis	Fissurina sp.	Fissurina lacunata	Fissurina annectens	Fijiella simplex	Elphidium jenseni	Ehrenbergina trigona	Discorbinella convexa	Cibicides refulgens	Cassidulina norvangi	Bronnimannia hiliotis	Brizalina vescistriata	Brizalina macella	Brizalina decussata	Bolivina rhomboidalis	Amphicoryna hirsuta	Uvigerina porrecta	Rectobolivina limbata costulata	Parafissurina uncifera	Paracassidulina neocarinata	Oolina globosa	Nodosaria simplex	Lagena sulcata spicata	Lagena parri	Globocassidulina sp.	Fissurina palliolata	Fissurina auriculata duplicata	Valvulineria gunjii	Stilostomella consobrina	Robulus reniformis	Robulus limbosus	Paracassidulina sulcata	Lagena acuticosta	Heronallenia lingulata	Discorbinella bertheloti	Brizalina capitata	Amphistegina radiata	Alabamina tubulifera	Trifarina bradyi	Globocassidulina oblonga	Bulimina striata	Brizalina karreriana carinata	Amphicoryna separans	Robulus sp.	Quinqueloculina vulgaris	Patellinella carinata	Paracassidulina miuraensis	Miliolinella circularis	Cassidulina carinata	Bolivinita quadrilatera	Oolina hexagona	Lagena substriata	Globocassidulina parva	Fissurina fimbriata	Eggerella bradyi	Siphotexturalia concava	Marginulina glabra	Fissurina alveolata	Uvigerina aculeata	Trifarina angulosa	Rectobolivina raphana	Paracassidulina quasicarinata	Neoconorbina floridensis	Globocassidulina gemma	Ehrenbergina albatrossi	Discorbis mira	Cribrorbulina serpens	Bolivina sp.	Rectobolivina dimorpha pacifica	Uvigerina hispida	Rotalia murrayi	Pleurostomella rapa	Brizalina subreticulata	Ammonia beccarii koeboeensis	Tubulogenerina zanzibarica	Rutherfordoides tenuis	Rutherfordoides cornuta	Fissurina sp. aff. F. trigonomarginata	Elphidium advena	Bolivina schwagerina	Laterostomella voluta	Bolivina subangularis	Globobulimina pacifica	Chilostomella ovoidea	Brizalina karreriana	Rosalina floridana	Rectobolivina columellaris	Lernella seranensis	Hyalina balthica	Cyclogyra involvens	Brizalina alata	Pileolina patelliformis	Fissurina orbignyana seguenza var.	Fissurina kerguelenensis	Ammonia beccarii	Comment
  SR	                 	                 	                  	              	134	 832	B	 84	R	 1	  49.00	    943.3900	Akimoto  	Benthic Foraminifers                         	               	                  	                	                     	                  	                   	                             	18                           	13                   	12                   	               	                      	                         	                         	              	                   	                    	                  	                      	                     	                        	                   	                       	                 	                 	                      	                    	                      	          	                    	                           	             	                             	                     	                        	                	                     	                       	                    	                  	                  	                       	                        	                      	                      	                           	                          	                     	                	                    	              	                        	                 	                     	                       	                   	                	                     	                   	                      	                 	                 	                       	                  	                      	                          	                            	                  	             	            	                	               	                 	                        	                  	                             	                            	                        	                    	                     	               	                             	                    	                      	                   	           	                      	                 	                              	                       	                   	                 	                    	                       	                             	                 	                       	                         	                       	                      	                   	                        	                          	              	                     	                                	                           	             	               	             	                  	                   	                	                 	                    	                     	                   	                    	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	Misc. agglut. forams =  1; Total agglut. forams =  44; Total calc. forams =  0; Total benthic forams =  44; from ODP Leg 134 SR Chapter 12 Table 5 backpocket

  SR	                 	                 	                  	              	134	 832	B	 84	R	 1	 128.00	    944.1800	Perembo  	Benthic Foraminifers                         	               	                  	F               	                     	                  	                   	                             	                             	                     	                     	               	                      	                         	                         	              	                   	                    	                  	                      	                     	                        	                   	                       	                 	                 	                      	                    	                      	          	                    	                           	             	                             	                     	                        	                	                     	                       	                    	                  	                  	                       	                        	                      	                      	                           	                          	                     	                	                    	              	                        	                 	                     	                       	                   	                	                     	                   	                      	                 	                 	                       	                  	                      	                          	                            	                  	             	            	                	               	                 	                        	                  	                             	                            	                        	                    	                     	               	                             	                    	                      	                   	           	                      	                 	                              	                       	                   	                 	                    	                       	                             	                 	                       	                         	                       	                      	                   	                        	                          	              	                     	                                	                           	             	               	             	                  	                   	                	                 	                    	                     	                   	                    	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	from ODP Leg 134 SR Chapter 11 Table 2 p 255

  SR	                 	                 	                  	              	134	 832	B	 85	R	 2	  60.00	    954.7000	Akimoto  	Benthic Foraminifers                         	               	                  	                	1                    	1                 	2                  	1                            	                             	                     	                     	               	                      	                         	                         	              	                   	                    	                  	                      	                     	                        	                   	                       	                 	                 	                      	                    	                      	          	                    	                           	             	                             	                     	                        	                	                     	                       	                    	                  	                  	                       	                        	                      	                      	                           	                          	                     	                	                    	              	                        	                 	                     	                       	                   	                	                     	                   	                      	                 	                 	                       	                  	                      	                          	                            	                  	             	            	                	               	                 	                        	                  	                             	                            	                        	                    	                     	               	                             	                    	                      	                   	           	                      	                 	                              	                       	                   	                 	                    	                       	                             	                 	                       	                         	                       	                      	                   	                        	                          	              	                     	                                	                           	             	               	             	                  	                   	                	                 	                    	                     	                   	                    	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	Misc. agglut. forams =  0; Total agglut. forams =  0; Total calc. forams =  5; Total benthic forams =  5; from ODP Leg 134 SR Chapter 12 Table 5 backpocket

  SR	                 	                 	                  	              	134	 832	B	 85	R	 2	  82.00	    954.9200	Perembo  	Benthic Foraminifers                         	               	M                 	C               	                     	                  	                   	                             	                             	                     	                     	               	                      	                         	                         	              	                   	                    	                  	                      	                     	                        	                   	                       	                 	                 	                      	                    	                      	          	                    	                           	             	                             	                     	                        	                	                     	                       	                    	                  	                  	                       	                        	                      	                      	                           	                          	                     	                	                    	              	                        	                 	                     	                       	                   	                	                     	                   	                      	                 	                 	                       	                  	                      	                          	                            	                  	             	            	                	               	                 	                        	                  	                             	                            	                        	                    	                     	               	                             	                    	                      	                   	           	                      	                 	                              	                       	                   	                 	                    	                       	                             	                 	                       	                         	                       	                      	                   	                        	                          	              	                     	                                	                           	             	               	             	                  	                   	                	                 	                    	                     	                   	                    	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	from ODP Leg 134 SR Chapter 11 Table 2 p 255

  SR	                 	                 	                  	              	134	 832	B	 85	R	 3	   7.00	    955.6700	Perembo  	Benthic Foraminifers                         	               	M                 	C               	                     	                  	                   	                             	                             	                     	                     	               	                      	                         	                         	              	                   	                    	                  	                      	                     	                        	                   	                       	                 	                 	                      	                    	                      	          	                    	                           	             	                             	                     	                        	                	                     	                       	                    	                  	                  	                       	                        	                      	                      	                           	                          	                     	                	                    	              	                        	                 	                     	                       	                   	                	                     	                   	                      	                 	                 	                       	                  	                      	                          	                            	                  	             	            	                	               	                 	                        	                  	                             	                            	                        	                    	                     	               	                             	                    	                      	                   	           	                      	                 	                              	                       	                   	                 	                    	                       	                             	                 	                       	                         	                       	                      	                   	                        	                          	              	                     	                                	                           	             	               	             	                  	                   	                	                 	                    	                     	                   	                    	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	from ODP Leg 134 SR Chapter 11 Table 2 p 255

  SR	                 	                 	                  	              	134	 832	B	 86	R	 3	  78.00	    965.9800	Perembo  	Benthic Foraminifers                         	               	                  	C               	                     	                  	                   	                             	                             	                     	                     	               	                      	                         	                         	              	                   	                    	                  	                      	                     	                        	                   	                       	                 	                 	                      	                    	                      	          	                    	                           	             	                             	                     	                        	                	                     	                       	                    	                  	                  	                       	                        	                      	                      	                           	                          	                     	                	                    	              	                        	                 	                     	                       	                   	                	                     	                   	                      	                 	                 	                       	                  	                      	                          	                            	                  	             	            	                	               	                 	                        	                  	                             	                            	                        	                    	                     	               	                             	                    	                      	                   	           	                      	                 	                              	                       	                   	                 	                    	                       	                             	                 	                       	                         	                       	                      	                   	                        	                          	              	                     	                                	                           	             	               	             	                  	                   	                	                 	                    	                     	                   	                    	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	from ODP Leg 134 SR Chapter 11 Table 2 p 255

  SR	                 	                 	                  	              	134	 832	B	 88	R	 1	 128.00	    982.3800	Perembo  	Benthic Foraminifers                         	               	                  	F               	                     	                  	                   	                             	                             	                     	                     	               	                      	                         	                         	              	                   	                    	                  	                      	                     	                        	                   	                       	                 	                 	                      	                    	                      	          	                    	                           	             	                             	                     	                        	                	                     	                       	                    	                  	                  	                       	                        	                      	                      	                           	                          	                     	                	                    	              	                        	                 	                     	                       	                   	                	                     	                   	                      	                 	                 	                       	                  	                      	                          	                            	                  	             	            	                	               	                 	                        	                  	                             	                            	                        	                    	                     	               	                             	                    	                      	                   	           	                      	                 	                              	                       	                   	                 	                    	                       	                             	                 	                       	                         	                       	                      	                   	                        	                          	              	                     	                                	                           	             	               	             	                  	                   	                	                 	                    	                     	                   	                    	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	from ODP Leg 134 SR Chapter 11 Table 2 p 255

