Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
375-U1520D-23F-1-A,0,110.0,184.6,185.7,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Section is disturbed due to drilling, so that bedding is hard to see. Discernible silt layers at 41 cm",,,,375,U1520,D,23,F,1,A,,,
375-U1520D-23F-2-A,0,53.0,185.95,186.48,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Alternating silt and mud layers with normal grading. Section is disturbed due to drilling. Bedding is not visible and silt layers are disrupted.,,,,375,U1520,D,23,F,2,A,,,
375-U1520D-23F-2-A,53,63.0,186.48,186.58,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,7.5YR 7/1 (light gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unconsolidated,normal grading,well [2014],,,,,,,,,,,,Ash layer more than 10 cm originally grading into background mud due to drilling disturbance.,,,,375,U1520,D,23,F,2,A,,,
375-U1520D-23F-2-A,63,137.0,186.58,187.32,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Alternating silt and mud layers with normal grading. Section is disturbed due to drilling. Bedding is not visible and silt layers are disrupted. One ash layer at 119 cm,,,,375,U1520,D,23,F,2,A,,,
375-U1520D-23F-3-A,0,92.0,187.47,188.39,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Section is disturbed due to drilling, so that bedding is hard to see. Discernible silt layers at 8, 11, 41, 72 cm. One ash layer at 68 cm.",,,,375,U1520,D,23,F,3,A,,,
375-U1520D-23F-4-A,0,86.0,188.39,189.25,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Section is disturbed due to drilling, so that bedding is hard to see. Discernible silt layers at 41 cm",,,,375,U1520,D,23,F,4,A,,,
375-U1520D-23F-CC-A,0,34.0,189.25,189.59,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Section is disturbed due to drilling, so that bedding is hard to see. Discernible silt layers at 25, 45, 62, 80 cm. Ash layers at 5 and 31 cm.",,,,375,U1520,D,23,F,CC,A,,,
375-U1520D-25F-1-A,0,110.0,220.0,221.1,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),irregular,sharp,irregular sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 25, 31, 36, 43, 51, 61, 73, 92, and 105 cm. Ash lamina at 83 cm.",,,,375,U1520,D,25,F,1,A,,,
375-U1520D-25F-2-A,0,3.0,221.35,221.38,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),irregular,sharp,irregular sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Alternating silt and mud layers with normal grading. No silt layers in this interval.,,,,375,U1520,D,25,F,2,A,,,
375-U1520D-25F-2-A,3,13.0,221.38,221.48,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,5Y 7/1 (light gray),irregular,sharp,irregular sharp,horizontal,medium bed [B01],unconsolidated,,well [2014],parallel bedding,,,,,,,,,,,Light gray ash layer.,,,,375,U1520,D,25,F,2,A,,,
375-U1520D-25F-2-A,13,125.0,221.48,222.6,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),irregular,sharp,irregular sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 72, 81, 98, and 110 cm. Some silt layers are light in color, though most are dark gray. Drilling disturbance makes it difficult to discern layers in some intervals.",,,,375,U1520,D,25,F,2,A,,,
375-U1520D-25F-3-A,0,132.0,222.75,224.07,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),irregular,sharp,irregular sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 16, 37, 45, 48, 106, 112, and 126 cm. Ash pods at 81 cm and silt pods could be disseminated layers.",,,,375,U1520,D,25,F,3,A,,,
375-U1520D-25F-4-A,0,59.0,224.22,224.81,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),irregular,sharp,irregular sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layers at 3 and 49 cm. Ash layer at 13 and 21 cm. Silt and ash pods could be disseminated layers.,,,,375,U1520,D,25,F,4,A,,,
375-U1520D-25F-CC-A,0,17.0,224.81,224.98,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),irregular,sharp,irregular sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Alternating silt and mud layers with normal grading. No silt layers in this interval.,,,,375,U1520,D,25,F,CC,A,,,
375-U1520D-26F-1-A,0,95.0,224.7,225.65,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),,sharp, sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,Alternating silt and mud layers with normal grading. Light colored silt layer at 79 cm. Ash pods at 36 and ash pod layer at 75 cm.,,,,375,U1520,D,26,F,1,A,,,
375-U1520D-26F-1-A,95,105.0,225.65,225.75,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,7.5YR 7/1 (light gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unconsolidated,,well [2014],,,,,,,,,,,,Ash layer with some darker layers within it.,,,,375,U1520,D,26,F,1,A,,,
375-U1520D-26F-1-A,105,137.0,225.75,226.07,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Alternating silt and mud layers with normal grading, though this interval doesn't have any silt layers. Ash layer at 135 cm.",,,,375,U1520,D,26,F,1,A,,,
375-U1520D-26F-1-A,137,145.0,226.07,226.15,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,7.5YR 7/1 (light gray),,,,,thick bed [B01],unconsolidated,,well [2014],,,,,,,,,,,,Ash layer which is continued in section 2.,,,,375,U1520,D,26,F,1,A,,,
375-U1520D-26F-2-A,0,29.0,226.15,226.44,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,7.5YR 7/1 (light gray),,,,,thick bed [B01],unconsolidated,,well [2014],,,,,,,,,,,,Ash layer which is continued from section 1.,,,,375,U1520,D,26,F,2,A,,,
375-U1520D-26F-2-A,29,131.0,226.44,227.46,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,10G 6/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Alternating silt and mud layers which have been destroyed by drilling disturbance (seen in vertical smearing of silt and ash). Ash pods at 51, 69, and 107 cm could be emplaced due to drilling disturbance. Color of mud is a lighter greenish gray, possibly due to mixing of ash into the mud.",,,,375,U1520,D,26,F,2,A,,,
375-U1520D-26F-3-A,0,100.0,227.61,228.61,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers. Ash layers and ash pod layers at 31, 80, 99 cm",,,,375,U1520,D,26,F,3,A,,,
375-U1520D-26F-3-A,100,105.0,228.61,228.66,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,10Y 7/1 (light greenish gray),,,,,thick bed [B01],unconsolidated,,well [2014],,,,,,,,,,,,Ash layer which is continued in section 4.,,,,375,U1520,D,26,F,3,A,,,
375-U1520D-26F-4-A,0,56.0,228.66,229.22,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,7.5YR 7/1 (light gray),,sharp, sharp,,thick bed [B01],unconsolidated,,well [2014],,,,,,,,,,,,Ash layer which is continued from section 3. Some darker colored layers are seen within the ash.,,,,375,U1520,D,26,F,4,A,,,
375-U1520D-26F-4-A,56,62.0,229.22,229.28,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Alternating silt and mud layers, though no silt layers are recovered in this interval underlying the ash layer.",,,,375,U1520,D,26,F,4,A,,,
375-U1520D-27F-1-A,0,30.0,229.4,229.7,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Alternating silt and mud layers. Silt layers at 7 and ash layer at 19 cm.,,,,375,U1520,D,27,F,1,A,,,
375-U1520D-27F-1-A,30,45.0,229.7,229.85,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,7.5YR 7/1 (light gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unconsolidated,,,,,,,,,,,,,,Ash layer with some lighter and darker banding.,,,,375,U1520,D,27,F,1,A,,,
375-U1520D-27F-1-A,45,66.0,229.85,230.06,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,,,,,,,unconsolidated,,,,,,,,,,,,,,Alternating silt and mud layers. Mud mixed with ash layers above and below.,,,,375,U1520,D,27,F,1,A,,,
375-U1520D-27F-1-A,66,100.0,230.06,230.4,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,10YR 6/1 (gray),planar,sharp,planar sharp,horizontal,thick bed [B01],unconsolidated,,,,,,,,,,,,,,Ash layer is darker than other ash layers in this core. Bottom of the layer is more brownish.,,,,375,U1520,D,27,F,1,A,,,
375-U1520D-27F-1-A,100,125.0,230.4,230.65,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Alternating silt and mud layers. Drilling disturbance has smeared silt layers, making them difficult to distinguish.",,,,375,U1520,D,27,F,1,A,,,
375-U1520D-27F-2-A,0,41.0,230.89,231.3,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Alternating silt and mud layers. Drilling disturbance has smeared silt layers, making them difficult to distinguish.",,,,375,U1520,D,27,F,2,A,,,
375-U1520D-27F-2-A,41,56.0,231.3,231.45,,,silt [S54],,silt,silt,silt,5Y 2.5/2 (black),planar,sharp,planar sharp,horizontal,medium bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,Medium silt layer.,,,,375,U1520,D,27,F,2,A,,,
375-U1520D-27F-2-A,56,91.0,231.45,231.8,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,Alternating silt and mud layers. Silt layer at 67 cm. Ash layer at 85 and 89 cm.,,,,375,U1520,D,27,F,2,A,,,
375-U1520D-27F-2-A,91,97.0,231.8,231.86,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,10YR 5/1 (gray),,,,,very thick bed [B01],unconsolidated,,,,,,,,,,,,,,Ash layer with darker gray bands. This layer is continued in section 3.,,,,375,U1520,D,27,F,2,A,,,
375-U1520D-27F-3-A,0,91.0,231.86,232.77,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,7.5YR 8.5/1 (white),,,,,very thick bed [B01],unconsolidated,,,,,,,,,,,,,,"Whitish cream ash layer with darker gray bands. At the bottom (69-91 cm), there are pods of cream colored ash that are not mixed with gray grains. This layer is continued from section 2.",,,,375,U1520,D,27,F,3,A,,,
375-U1520D-28F-1-A,0,144.0,234.1,235.54,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,"Alternating silt and mud layers. Silt layers at 27, 30, 33, 40, 56, 62, 78, 94, 102, 107, 114 (lighter colored), 117, 128, and 138 cm. An ash layers/ash pod layers at 56, 77, 84, and 95 cm.",,,,375,U1520,D,28,F,1,A,,,
375-U1520D-28F-2-A,0,132.0,235.64,236.96,,,silt [S54],,silt,silt,silt,N 3 (very dark gray),,,,,very thick bed [B01],unconsolidated,,poor [2014],,,,,,,,,,,,"Severely drilling disturbed silt. Some less silty intervals (38-44 cm, 80-84 cm, and 91-95 cm) could be interbedded mud layers.",,,,375,U1520,D,28,F,2,A,,,
375-U1520D-28F-3-A,0,19.0,237.11,237.3,,,silt [S54],,silt,silt,silt,N 3 (very dark gray),,,,,very thick bed [B01],unconsolidated,,poor [2014],,,,,,,,,,,,Severely drilling disturbed silt. Some mud is mixed into the silt between 7-15 cm which could be interbedded mud layers.,,,,375,U1520,D,28,F,3,A,,,
375-U1520D-28F-3-A,19,41.0,237.3,237.52,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),,sharp, sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,Alternating silt and mud layers. Silt layer at 29 cm. Drilling disturbance has sucked up the bottom contacts.,,,,375,U1520,D,28,F,3,A,,,
375-U1520D-28F-3-A,55,102.0,237.66,238.13,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),,sharp, sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,"Alternating silt and mud layers. Silt layers at 63, 77, and 91 cm.",,,,375,U1520,D,28,F,3,A,,,
375-U1520D-28F-3-A,102,106.0,238.13,238.17,,,silt [S54],,silt,silt,silt,N 3 (very dark gray),,,,,thick bed [B01],unconsolidated,,poor [2014],,,,,,,,,,,,Silt layer which continues into section 4.,,,,375,U1520,D,28,F,3,A,,,
375-U1520D-28F-4-A,0,27.0,238.17,238.44,,,silt [S54],,silt,silt,silt,N 3 (very dark gray),,,,,thick bed [B01],unconsolidated,,poor [2014],,,,,,,,,,,,Silt layer which continues from section 3.,,,,375,U1520,D,28,F,4,A,,,
375-U1520D-28F-4-A,27,54.0,238.44,238.71,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),,sharp, sharp,,very thin bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,Alternating silt and mud layers. Silt layers at 38 and 49 cm.,,,,375,U1520,D,28,F,4,A,,,
375-U1520D-28F-CC-A,0,11.0,238.71,238.82,,,silt [S54],,silt,silt,silt,N 3 (very dark gray),,,,,,unconsolidated,,poor [2014],,,,,,,,,,,,Silt layer. Bottom contact is not recovered.,,,,375,U1520,D,28,F,CC,A,,,
375-U1520D-29F-1-A,0,146.0,238.8,240.26,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,"Alternating silt to sand and mud layers with normal grading. Silt to sand layers at 7, 10, 22, 32, 40, 48, 56, 72, 79, 85, 89, 93, 100, 118, and 133 (fine to medium sand) cm.",,,,375,U1520,D,29,F,1,A,,,
375-U1520D-29F-2-A,0,73.0,240.26,240.99,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,"Alternating silt to sand and mud layers with normal grading. Silt to sand layers at 29, 52, and 63 cm.",,,,375,U1520,D,29,F,2,A,,,
375-U1520D-29F-2-A,73,85.0,240.99,241.11,,,silt [S54],,silt,silt,silt,N 4 (dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,Silt to very fine sand layer.,,,,375,U1520,D,29,F,2,A,,,
375-U1520D-29F-2-A,85,125.0,241.11,241.51,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,"Alternating silt to sand and mud layers with normal grading. Silt to sand layers at 94, 109, and 117 cm.",,,,375,U1520,D,29,F,2,A,,,
375-U1520D-30F-1-A,0,98.0,243.5,244.48,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 51, 57, 60, 71, 84, and 94 cm.",,,,375,U1520,D,30,F,1,A,,,
375-U1520D-30F-1-A,98,119.0,244.48,244.69,,,silt [S54],,silt,silt,silt,N 4 (dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,Silt layer with normal grading.,,,,375,U1520,D,30,F,1,A,,,
375-U1520D-30F-1-A,119,134.0,244.69,244.84,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layer at 131 cm.,,,,375,U1520,D,30,F,1,A,,,
375-U1520D-30F-2-A,0,20.0,244.84,245.04,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layers at 3 and 8 cm.,,,,375,U1520,D,30,F,2,A,,,
375-U1520D-30F-2-A,20,41.0,245.04,245.25,,,silt [S54],,silt,silt,silt,N 4 (dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,Silt layer with some lighter bands inside of it.,,,,375,U1520,D,30,F,2,A,,,
375-U1520D-30F-2-A,41,106.0,245.25,245.9,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 60, 63, 70, 76, 82, 89, 96, 101, and 105 cm. Some layers have irregular contacts.",,,,375,U1520,D,30,F,2,A,,,
375-U1520D-30F-3-A,0,131.0,246.25,247.56,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 4, 32, 34, 41, 63, 86, 110, 113, and 122 cm. Some layers have irregular contacts.",,,,375,U1520,D,30,F,3,A,,,
375-U1520D-30F-4-A,0,17.0,247.56,247.73,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 9, 12, and 15 cm. Some layers are lighter in color.",,,,375,U1520,D,30,F,4,A,,,
375-U1520D-30F-4-A,17,30.0,247.73,247.86,,,silt [S54],,silt,silt,silt,N 4 (dark gray),irregular,sharp,irregular sharp,sub-horizontal,medium bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,Silt layer with normal grading.,,,,375,U1520,D,30,F,4,A,,,
375-U1520D-30F-4-A,30,38.0,247.86,247.94,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),irregular,sharp,irregular sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layers at 30 and 36 cm. Some layers are lighter in color.,,,,375,U1520,D,30,F,4,A,,,
375-U1520D-30F-4-A,38,55.0,247.94,248.11,,,silt [S54],,silt,silt,silt,N 4 (dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,Silt layer with normal grading.,,,,375,U1520,D,30,F,4,A,,,
375-U1520D-30F-4-A,55,70.0,248.11,248.26,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),irregular,sharp,irregular sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layer at 67 cm with irregular bottom contact.,,,,375,U1520,D,30,F,4,A,,,
375-U1520D-30F-CC-A,0,18.0,248.26,248.44,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5GY 5/1 (greenish gray),,,,,,unconsolidated,,poor [2014],,,,,,,,,,,,Alternating silt and mud layers though distinct silt layers not visible in this interval.,,,,375,U1520,D,30,F,CC,A,,,
375-U1520D-31X-CC-A,0,43.0,248.2,248.63,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],consolidated,normal grading,poor [2014],,,,,,,,,,,,"Alternating siltstone and mudstone layers with normal grading. Siltstone layers at 16, 27, and 43 cm.",,,,375,U1520,D,31,X,CC,A,,,
375-U1520D-32X-1-A,0,82.0,255.2,256.02,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],consolidated,normal grading,poor [2014],,,,,,,,,,,,"Alternating siltstone and mudstone layers with normal grading. Siltstone layers at 6, 11, 32, 45, 48, and 60 cm.",,,,375,U1520,D,32,X,1,A,,,
375-U1520D-32X-2-A,0,87.0,256.17,257.04,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5GY 5/1 (greenish gray),,sharp, sharp,horizontal,thin bed [B01],consolidated,normal grading,poor [2014],,,,,,,,,,,,"Alternating siltstone and mudstone layers with normal grading. Siltstone layers at 5, 27, 31, 42, 45, and 85 cm. Some layers have irregular contacts.",,,,375,U1520,D,32,X,2,A,,,
375-U1520D-32X-CC-A,0,9.0,257.04,257.13,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5GY 5/1 (greenish gray),,,,,,consolidated,,,,,,,,,,,,,,Alternating siltstone and mudstone layers though distinct siltstone layers not visible in this interval.,,,,375,U1520,D,32,X,CC,A,,,
375-U1520D-33X-1-A,0,150.0,261.2,262.7,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5G 6/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],consolidated,normal grading,poor [2014],,slight,1,planar lamination,cross-lamination,,,,,,,"Alternating siltstone and mudstone with subtle normal grading. Siltstone layers exhibit planar and cross lamination. Siltstone layers at 18, 22, 52, 54, 75, 100, 122, 142, and 149 cm. Pyrite grains (<1 mm) incorporated into mud. Bioturbation is seen more clearly than in previous cores, though this could be due to the cores being split using a saw rather than wire in high tension.",,,,375,U1520,D,33,X,1,A,,,
375-U1520D-33X-2-A,0,151.0,262.7,264.21,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5G 6/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],consolidated,normal grading,poor [2014],,slight,1,planar lamination,cross-lamination,,,,,,,"Alternating siltstone and mudstone with subtle normal grading. Siltstone layers exhibit planar and cross lamination. Siltstone layers at 26, 36, 42, 56, 66, 77, 119, 132, 142, and 148 cm. Pyrite grains (<1 mm) incorporated into mud. Bioturbation is seen more clearly than in previous cores, though this could be due to the cores being split using a saw rather than wire in high tension. Ash layer at 17 cm.",,,,375,U1520,D,33,X,2,A,,,
