Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitella reissi <150 µm	Subbotina triloculinoides	Subbotina triangularis	Subbotina pseudobulloides	Planorotalites spp. <150 µm	Planorotalites ehrenbergi	Planorotalites compressus	Morozovella angulata abundocamerata	Morozovella angulata	Chiloguembelinid  gen. et sp. indet <150 µm	Acarinina praepentacamerata	Morozovella tadjikistanensis dianensis	Morozovella simulatilis	Morozovella hispidicidaris	Chiloguembelinid gen. et sp. indet (mainly Ch. midwayensis) large	Acarininid gen.et sp. indet (subangular)	Acarinina whitei	Acarinina mckannai	Morozovella tadjikistanensis	Morozovella pusilla	Morozovella nicoli ex. group (biconvex)	Globigerinelloides sp.	Acarinina subsphaerica	Acarinina nitida	Subbotina patagonica	Subbotina eocaenica	Acarinina soldadoensis	Subbotinid gen. et sp. indet (with abortive chambers)	Globorotaloides spp.	Acarinina spiralis	Acarinina intermedia	Morozovella convexa	Globorotaloides sp. 1	Acarinina velascoensis	Acarinina gravelli	Acarinina chascanona	Globorotaloides oregonensis	Acarinina esnaensis	Planorotalites pseudoscitulus	Planorotalites planoconicus	Planorotalites australiformis	Morozovella sp.	Subbotina pseudoeocaena compacta	Subbotina higginsi	Subbotina eocaenica irregularis	Subbotina bakeri	Planorotalites pseudoscitulus elongatus	Planorotalites chapmani	Guembelitria spp. <150 µm	Chiloguembelina wilcoxensis	Morozovella gracilis	Morozovella aequa	Acarinina appressocamerata	Subbotina pseudoeocaena	Pseudohastigerina wilcoxensis	Morozovella wilcoxensis berggreni	Morozovella subbotinae	Morozovella marginodentata	Globorotalia praecentralis	Catapsydrax taroubaensis	Heterohelix sp.	Pseudohastigerina micra	Globorotaloides turgida	Subbotina hornibrooki	Subbotina eocaena	Subbotina corpulenta	Pseudohastigerina spp. <150 µm	Globorotaloides sp. aff. G.suteri	Globigerinatheka senni	Acarinina triplex	Acarinina spinuloinflata	Acarinina sp. aff. mattseensis alticonica	Acarinina soldadoensis angulosa	Acarinina rugosoaculeata	Acarinina rotundimarginata	Acarinina pseudotopilensis	Acarinina primitiva	Acarinina praetopilensis	Acarinina pentacamerata	Acarinina interposita	Acarinina decepta	Acarinina collactea	Acarinina acarinata	Acarinina bullbrooki/matthewsae	Morozovella lensiformis	Morozovella dolabrata	Morozovella crater	Morozovella broedermanni	Subbotina crociapertura	Subbotina lozanoi	Pseudohastigerina danvillensis	Cassigerinelloita amekiensis	Acarinina sp. cf. A.quadratoseptata	Acarinina sp. cf. A.punctocarinata	Acarinina sp.aff. libyaensis/hainesi	Acarinina cuneicamerata	Globigerinatheka luterbacheri	Acarinina topilensis	Acarinina boudreauxi	Acarinina aquiensis	Subbotina inaequispira	Dentoglobigerina pseudovenezuelana	Subbotina pseudoeocaena trilobata	Globorotaloides suteri	Subbotina sp. cf. S. azerbadjanica	Subbotina utilisindex	Subbotina angiporoides minima	Globigerina venezuelana	Catapsydrax spp.	Globigerinatheka index	Subbotina linaperta	Morozovella sp. cf. M. spinulosa	Turborotalia cerroazulensis frontosa	Subbotina angiporoides	Globigerinatheka subconglobata	Globigerinatheka sp. cf. G.mexicana	Catapsydrax africanus	Chiloguembelina cubensis	Pseudohastigerina barbadoensis <150 µm	Catapsydrax globiformis	Subbotina linaperta s.l.	Chiloguembelinid gen. et sp. indet >150 micron	Acarinina aculeata	Tenuitellid gen.et sp. indet.<150 µm	Tenuitella gemma <150 µm	Tenuitella clemenciae <150 µm	Globigerina ampliapertura	Comment

  SR	Early Eocene     	                 	P8                	              	114	 702	B	 22	X	 4	 100.00	    201.8000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                        	                         	                      	                         	F                          	                         	                         	                                   	                    	                                           	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	C                   	                   	                      	                                                     	                    	                  	F                   	                   	                     	                      	                  	                    	                           	                   	F                            	                           	                             	               	R                               	                  	F                              	R               	F                                      	                       	R                        	                           	                    	                 	A                         	                       	                             	                                 	                      	                          	R                         	                        	               	                       	                       	                     	                 	                    	                              	                                 	C                     	                 	                        	C                                        	F                              	F                       	F                         	R                         	F                  	                        	                       	                     	                 	F                  	                   	                               	                       	R                    	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Early Eocene     	                 	P8                	              	114	 702	B	 22	X	CC	  39.00	    202.8100	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                        	                         	                      	                         	F                          	                         	                         	                                   	                    	F                                          	                           	                                      	                       	                          	                                                                 	R                                       	                	                  	                            	                   	                                       	                      	                      	                	F                   	C                  	                      	                                                     	                    	                  	                    	                   	R                    	                      	                  	                    	                           	                   	R                            	                           	                             	               	F                               	                  	C                              	                	F                                      	                       	R                        	                           	                    	                 	R                         	F                      	                             	                                 	                      	                          	                          	                        	               	                       	                       	                     	                 	R                   	                              	F                                	F                     	C                	F                       	                                         	F                              	                        	F                         	C                         	F                  	R                       	                       	                     	S                	F                  	R                  	                               	R                      	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Early Eocene     	                 	P8                	              	114	 702	B	 23	X	 1	  35.00	    206.1500	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                        	                         	                      	                         	C                          	                         	                         	                                   	                    	F                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	C                   	F                  	                      	F                                                    	                    	                  	F                   	                   	                     	                      	                  	                    	                           	F                  	C                            	                           	F                            	               	                                	                  	                               	R               	C                                      	                       	R                        	                           	                    	                 	                          	                       	F                            	                                 	                      	                          	                          	                        	               	R                      	                       	R                    	F                	R                   	R                             	C                                	C                     	                 	                        	C                                        	                               	                        	F                         	F                         	C                  	                        	                       	                     	                 	F                  	                   	R                              	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Early Eocene     	                 	P8                	              	114	 702	B	 23	X	CC	  22.00	    207.0100	Nocchi   	Planktonic Foraminifers                      	A              	G                 	F                        	                         	                      	                         	A                          	                         	                         	                                   	                    	F                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	C                   	                   	                      	F                                                    	                    	                  	C                   	                   	R                    	                      	                  	                    	                           	R                  	C                            	R                          	F                            	               	F                               	R                 	C                              	                	C                                      	                       	R                        	                           	                    	                 	                          	C                      	                             	                                 	                      	                          	F                         	                        	               	R                      	                       	R                    	F                	F                   	R                             	C                                	F                     	F                	R                       	C                                        	R                              	R                       	F                         	C                         	F                  	R                       	F                      	F                    	R                	F                  	C                  	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Early Eocene     	                 	P6b               	P7            	114	 702	B	 24	X	 2	  10.00	    216.9000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                         	                         	                      	                         	F                          	                         	                         	                                   	                    	                                           	                           	                                      	                       	                          	C                                                                	                                        	                	F                 	                            	                   	                                       	                      	                      	                	C                   	C                  	                      	                                                     	F                   	                  	                    	                   	                     	                      	                  	                    	                           	                   	                             	                           	F                            	               	R                               	                  	F                              	R               	                                       	                       	                         	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	R                      	                       	                     	                 	                    	                              	                                 	                      	                 	                        	                                         	                               	                        	                          	                          	                   	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Early Eocene     	                 	P6b               	P7            	114	 702	B	 24	X	 3	  10.00	    218.4000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                         	                         	R                     	                         	C                          	                         	                         	                                   	                    	C                                          	F                          	                                      	                       	                          	C                                                                	                                        	                	F                 	                            	                   	                                       	                      	                      	                	C                   	C                  	F                     	                                                     	F                   	                  	                    	R                  	                     	                      	                  	                    	                           	                   	F                            	R                          	F                            	               	R                               	R                 	F                              	R               	F                                      	F                      	                         	                           	                    	                 	                          	F                      	R                            	                                 	                      	                          	R                         	                        	               	R                      	R                      	                     	                 	                    	                              	                                 	                      	                 	                        	                                         	                               	                        	                          	                          	                   	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Early Eocene     	                 	P6b               	P7            	114	 702	B	 24	X	CC	  25.00	    219.1200	Nocchi   	Planktonic Foraminifers                      	A              	G                 	F                        	                         	F                     	                         	F                          	                         	                         	                                   	                    	F                                          	F                          	                                      	                       	                          	C                                                                	                                        	                	F                 	                            	                   	                                       	                      	                      	                	C                   	C                  	F                     	                                                     	F                   	                  	                    	                   	                     	F                     	R                 	F                   	                           	C                  	                             	R                          	                             	               	R                               	                  	F                              	                	F                                      	F                      	                         	R                          	                    	                 	                          	F                      	                             	                                 	                      	                          	R                         	                        	C              	                       	                       	                     	                 	                    	                              	                                 	                      	                 	                        	                                         	                               	                        	                          	                          	                   	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	S.corpulenta occurrence is doubtful; from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Early Eocene     	                 	P6b               	P7            	114	 702	B	 25	X	 1	  13.00	    224.9300	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                         	                         	F                     	                         	C                          	                         	                         	                                   	                    	C                                          	                           	                                      	                       	                          	C                                                                	                                        	                	C                 	                            	                   	                                       	                      	                      	F               	C                   	C                  	F                     	                                                     	R                   	                  	R                   	                   	                     	F                     	R                 	F                   	                           	C                  	                             	F                          	C                            	S              	F                               	                  	F                              	R               	F                                      	                       	                         	                           	                    	S                	C                         	F                      	S                            	S                                	R                     	R                         	R                         	R                       	               	                       	                       	                     	                 	                    	                              	                                 	                      	                 	                        	                                         	                               	                        	                          	                          	                   	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	M.gracillis occurrence is doubtful; from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Early Eocene     	                 	P6b               	P7            	114	 702	B	 25	X	CC	  25.00	    226.2200	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                         	                         	F                     	                         	C                          	                         	                         	                                   	                    	F                                          	F                          	F                                     	                       	                          	C                                                                	                                        	                	C                 	                            	                   	                                       	                      	                      	                	                    	                   	                      	                                                     	F                   	                  	                    	                   	                     	                      	R                 	F                   	                           	F                  	F                            	C                          	F                            	               	                                	                  	                               	                	                                       	                       	                         	                           	R                   	S                	F                         	                       	                             	                                 	                      	                          	                          	                        	               	                       	                       	                     	                 	                    	                              	                                 	                      	                 	                        	                                         	                               	                        	                          	                          	                   	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Early Eocene     	                 	P6b               	P7            	114	 702	B	 26	X	 1	  46.00	    234.7600	Nocchi   	Planktonic Foraminifers                      	A              	P                 	F                        	                         	F                     	                         	C                          	                         	                         	                                   	                    	C                                          	                           	R                                     	                       	                          	C                                                                	F                                       	                	C                 	                            	                   	R                                      	                      	                      	F               	F                   	F                  	C                     	C                                                    	F                   	                  	C                   	R                  	                     	F                     	R                 	                    	                           	                   	                             	C                          	C                            	               	                                	                  	                               	                	F                                      	F                      	R                        	R                          	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	                       	                       	                     	                 	                    	                              	                                 	                      	                 	                        	                                         	                               	                        	                          	                          	                   	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Early Eocene     	                 	P6b               	P7            	114	 702	B	 26	X	CC	  32.00	    235.7200	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                        	                         	F                     	                         	F                          	                         	                         	                                   	                    	C                                          	                           	                                      	                       	                          	F                                                                	R                                       	                	C                 	                            	                   	R                                      	                      	                      	                	F                   	F                  	C                     	R                                                    	F                   	                  	F                   	R                  	                     	F                     	R                 	                    	                           	F                  	F                            	                           	                             	               	R                               	R                 	F                              	R               	F                                      	                       	                         	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	                       	                       	                     	                 	                    	                              	                                 	                      	                 	                        	                                         	                               	                        	                          	                          	                   	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Paleocene        	                 	P5                	P6a           	114	 702	B	 27	X	 1	  77.00	    244.5700	Nocchi   	Planktonic Foraminifers                      	A              	P                 	F                        	                         	F                     	                         	F                          	                         	                         	                                   	                    	C                                          	F                          	F                                     	                       	                          	                                                                 	                                        	                	F                 	                            	                   	F                                      	                      	                      	                	C                   	C                  	                      	                                                     	R                   	                  	                    	F                  	F                    	C                     	S                 	                    	                           	                   	R                            	F                          	F                            	S              	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	                       	                       	                     	                 	                    	                              	                                 	                      	                 	                        	                                         	                               	                        	                          	                          	                   	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Paleocene        	                 	P5                	P6a           	114	 702	B	 27	X	CC	  35.00	    245.4500	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                        	                         	F                     	                         	                           	                         	                         	                                   	                    	C                                          	                           	                                      	                       	                          	                                                                 	F                                       	                	C                 	                            	                   	                                       	                      	                      	                	                    	F                  	C                     	                                                     	F                   	                  	                    	F                  	C                    	R                     	F                 	F                   	?                          	F                  	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	                       	                       	                     	                 	                    	                              	                                 	                      	                 	                        	                                         	                               	                        	                          	                          	                   	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	                       	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)
